PID	Status	Label
-	0	com.apple.AquaAppearanceHelper
3506	0	com.apple.AuthenticationServicesCore.AuthenticationServicesAgent
-	0	com.apple.cvmsCompAgent_arm64
-	0	com.apple.bookdatastored
687	0	com.apple.security.keychain-circle-notification
-	0	com.apple.appstorecomponentsd
-	0	com.apple.icloud.findmydeviced.findmydevice-user-agent
609	0	homebrew.mxcl.redis
-	0	com.apple.XProtect.agent.scan.startup
600	0	com.apple.amsengagementd
-	0	com.apple.AirPortBaseStationAgent
81685	-9	com.apple.proactiveeventtrackerd
2768	0	com.apple.proactived
460	0	com.apple.universalaccessd
556	0	com.apple.linkd
-	0	com.apple.accessibility.MotionTrackingAgent
-	0	com.apple.neagent
92215	-9	com.apple.SafariLaunchAgent
-	0	com.apple.idsfoundation.IDSRemoteURLConnectionAgent
2237	0	com.apple.recentsd
-	0	com.apple.transparencyStaticKey
93100	-9	com.apple.sirittsd
82900	-9	com.apple.WiFiVelocityAgent
483	0	com.apple.usernoted
693	0	com.apple.geodMachServiceBridge
1057	0	com.apple.Safari.History
1066	0	com.apple.translationd
-	0	org.pqrs.karabiner.agent.karabiner_observer
-	0	com.apple.AddressBook.abd
499	0	com.apple.calaccessd
-	0	com.apple.ScreenReaderUIServer
6167	0	com.apple.newsd
-	0	com.apple.systemsettingsagent
595	0	com.apple.contactsd
555	0	com.apple.swcd
617	0	com.apple.AirPlayUIAgent
1166	0	com.apple.backgroundassets.user
-	0	com.apple.cvmsCompAgent_arm64_1
-	0	com.apple.shazamd
61463	0	application.com.apple.iCal.1152921500311882722.1152921500311882991
540	0	com.apple.corespotlightd
829	0	com.apple.naturallanguaged
-	0	com.apple.netauth.user.gui
-	0	com.apple.watchlistd
516	0	com.apple.xtyped
-	0	com.apple.TMHelperAgent
530	0	com.apple.Spotlight
695	0	com.apple.appstoreagent
-	0	com.apple.AMPDevicesAgent
1060	0	com.apple.accessibility.mediaaccessibilityd
-	0	com.apple.cvmsCompAgent3425AMD_x86_64_1
930	0	com.apple.mdworker.sizing
-	0	com.apple.SpeechRecognitionCore.brokerd
723	0	com.apple.metadata.mdbulkimport
-	0	com.apple.iokit.IOServiceAuthorizeAgent
-	0	com.apple.cvmsCompAgent3600_arm64
-	0	com.apple.WorkflowKit.ShortcutsViewService
472	0	com.apple.carboncore.csnameddata
-	0	com.apple.CoreSimulator.SimLaunchHost-arm64
-	0	com.apple.cvmsCompAgent3600_x86_64
-	0	com.apple.speech.speechsynthesisd.arm64
-	0	com.apple.CoreRoutine.helperservice
447	0	com.apple.distnoted.xpc.agent
721	0	com.apple.SetStoreUpdateService
573	0	com.apple.geod
